color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,adj_gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,adj_budg,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,colordum
Color,Christopher Nolan,712,169,22000,6000,Anne Hathaway,11000,187991439,190588931.6,Adventure|Drama|Sci-Fi,Matthew McConaughey,Interstellar ,928227,31488,Mackenzie Foy,1,black hole|father daughter relationship|saving the world|space travel|wormhole,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,2725,English,USA,PG-13,165000000,167279818,2014,11000,8.6,2.35,349000,1
Color,Rob Cohen,187,106,357,4000,Vin Diesel,23000,144512310,195843963.8,Action|Crime|Thriller,Paul Walker,The Fast and the Furious ,272223,45327,Jordana Brewster,2,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,988,English,USA,PG-13,38000000,51497831.73,2001,14000,6.7,2.35,14000,1
Color,David Fincher,362,166,21000,919,Jason Flemyng,11000,127490802,142119175.8,Drama|Fantasy|Romance,Brad Pitt,The Curious Case of Benjamin Button ,459346,13333,Julia Ormond,2,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1,822,English,USA,PG-13,150000000,167211093.2,2008,1000,7.8,2.35,23000,1
Color,Matthew Vaughn,500,132,905,1000,Michael Fassbender,34000,146405371,156212634.9,Action|Adventure|Sci-Fi,Jennifer Lawrence,X-Men: First Class ,518537,50983,Oliver Platt,3,cia|cia agent|mutant|nuclear war|professor,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,698,English,USA,PG-13,160000000,170717928,2011,13000,7.8,2.35,54000,1
Color,Francis Lawrence,389,137,508,14000,Philip Seymour Hoffman,34000,281666058,285219311.6,Adventure|Sci-Fi,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2 ,166137,81385,Josh Hutcherson,1,death of sister|dystopia|execution|rebellion|revolution,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1,383,English,USA,PG-13,160000000,162018420.6,2015,22000,6.6,2.35,38000,1
Color,James Bobin,218,113,33,11000,Alan Rickman,40000,76846624,76846624,Adventure|Family|Fantasy,Johnny Depp,Alice Through the Looking Glass ,21352,80806,Anne Hathaway,1,clock|dark fantasy|mad hatter|queen|sequel,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,131,English,USA,PG,170000000,170000000,2016,25000,6.4,1.85,30000,1
Color,Chris Miller,227,93,50,692,Eric Idle,3000,320706665,371306534.2,Adventure|Animation|Comedy|Family|Fantasy,Justin Timberlake,Shrek the Third ,211971,4705,Rupert Everett,2,disney spoof|fairy tale|prince|princess|tough guy,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1,326,English,USA,PG,160000000,185244187.2,2007,795,6.1,1.85,0,1
Color,Alan Taylor,474,126,230,2000,Emilia Clarke,24000,89732035,90864016.19,Action|Adventure|Sci-Fi,J.K. Simmons,Terminator Genisys ,188457,38873,Matt Smith,2,alternate timeline|cyborg|future|robot|time machine,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1,867,English,USA,PG-13,155000000,156955345,2015,10000,6.6,2.35,82000,1
Color,Michael Apted,228,113,150,59,Shane Rangi,531,104383624,114891589.5,Adventure|Family|Fantasy,Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader ,106446,764,Laura Brent,4,dragon|king|mouse|quest|warrior,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1,227,English,USA,PG,155000000,170603354.2,2010,82,6.3,1.78,11000,1
Color,Tim Burton,276,115,13000,588,Christopher Lee,40000,206456431,253717299.7,Adventure|Comedy|Family|Fantasy,Johnny Depp,Charlie and the Chocolate Factory ,320284,57844,David Kelly,3,chocolate|diminution|miniaturization|physical flexability|ticket,http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1,1361,English,USA,PG,150000000,184337173.6,2005,16000,6.7,1.85,0,1
Color,Shawn Levy,185,105,189,1000,Rami Malek,49000,177243721,198286233.8,Adventure|Comedy|Family|Fantasy,Robin Williams,Night at the Museum: Battle of the Smithsonian ,130272,54039,Steve Coogan,2,hdtv|motorcycle|museum|security guard|tyrannosaurus rex,http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1,209,English,USA,PG,150000000,167808117,2009,3000,5.9,2.35,2000,1
Color,Alan Taylor,486,112,230,12000,Natalie Portman,26000,206360018,212605111,Action|Adventure|Fantasy,Chris Hemsworth,Thor: The Dark World ,414070,59803,Anthony Hopkins,3,arrest|portal|thor|warrior|weapon,http://www.imdb.com/title/tt1981115/?ref_=fn_tt_tt_1,532,English,USA,PG-13,170000000,175144726.3,2013,20000,7.1,2.35,63000,1
Color,Ron Howard,298,146,2000,294,Ayelet Zurer,15000,133375846,149210330.5,Mystery|Thriller,Tom Hanks,Angels & Demons ,207839,16948,Armin Mueller-Stahl,2,conclave|illuminati|murder|reference to bernini|reference to raphael,http://www.imdb.com/title/tt0808151/?ref_=fn_tt_tt_1,435,English,USA,PG-13,150000000,167808117,2009,745,6.7,2.35,0,1
Color,Tim Burton,526,113,13000,16000,Chloë Grace Moretz,40000,79711678,83326919.27,Comedy|Fantasy|Horror,Johnny Depp,Dark Shadows ,199039,80849,Christopher Lee,7,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup,http://www.imdb.com/title/tt1077368/?ref_=fn_tt_tt_1,479,English,USA,PG-13,100000000,104535397.3,2012,17000,6.2,1.85,82000,1
Color,David Yates,248,110,282,103,Alexander Skarsgård,11000,124051759,124051759,Action|Adventure|Drama|Romance,Christoph Waltz,The Legend of Tarzan ,42372,21175,Casper Crump,2,africa|capture|jungle|male objectification|tarzan,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239,English,USA,PG-13,180000000,180000000,2016,10000,6.6,2.35,29000,1
Color,Roland Emmerich,339,131,776,256,Jake Weber,17000,73103784,75316130.82,Action|Drama|Thriller,Channing Tatum,White House Down ,164238,18204,Matt Craven,2,black u.s. president|president|secret service|tour|white house,http://www.imdb.com/title/tt2334879/?ref_=fn_tt_tt_1,434,English,USA,PG-13,150000000,154539464.4,2013,551,6.4,2.35,33000,1
Color,Joe Wright,256,111,456,394,Cara Delevingne,20000,34964818,35405903.69,Adventure|Family|Fantasy,Hugh Jackman,Pan ,39956,21393,Nonso Anozie,4,1940s|child hero|fantasy world|orphan|reference to peter pan,http://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1,186,English,USA,PG,150000000,151892269.3,2015,548,5.8,2.35,24000,1
Color,Rob Minkoff,196,92,50,517,Zach Callison,3000,111505642,113046324.3,Adventure|Animation|Comedy|Family|Sci-Fi,Ty Burrell,Mr. Peabody & Sherman ,47900,5810,Karan Brar,2,dog|father son relationship|inventor|talking dog|time travel,http://www.imdb.com/title/tt0864835/?ref_=fn_tt_tt_1,130,English,USA,PG,145000000,147003476.4,2014,1000,6.9,1.85,11000,1
Color,Wolfgang Petersen,220,196,249,844,Orlando Bloom,11000,133228348,169273351.6,Adventure,Brad Pitt,Troy ,381672,17944,Julian Glover,2,greek|mythology|prince|trojan|troy,http://www.imdb.com/title/tt0332452/?ref_=fn_tt_tt_1,1694,English,USA,R,175000000,222346347.3,2004,5000,7.2,2.35,0,1
Color,Paul Feig,464,116,176,322,Kate McKinnon,783,118099659,118099659,Action|Comedy|Fantasy|Sci-Fi,Ed Begley Jr.,Ghostbusters ,69757,2097,Zach Woods,4,ghost|ghostbuster|ghostbusters|male objectification|reboot,http://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1,1211,English,USA,PG-13,144000000,144000000,2016,370,5.5,2.35,62000,1
Color,Barry Sonnenfeld,208,88,188,826,Rosario Dawson,10000,190418803,254040276,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,Will Smith,Men in Black II ,270207,14823,Rip Torn,2,alien|lingerie|lingerie model|m.i.b.|pug,http://www.imdb.com/title/tt0120912/?ref_=fn_tt_tt_1,606,English,USA,PG-13,140000000,186775875.5,2002,3000,6.1,1.85,2000,1
Color,Brad Bird,432,133,663,690,Jeremy Renner,10000,209364921,223389659.4,Action|Adventure|Thriller,Tom Cruise,Mission: Impossible - Ghost Protocol ,365104,21768,Michael Nyqvist,3,dubai|kremlin|race against time|russian|terrorist,http://www.imdb.com/title/tt1229238/?ref_=fn_tt_tt_1,512,English,USA,PG-13,145000000,154713122.2,2011,10000,7.4,2.35,35000,1
Color,Dean Parisot,135,90,23,233,Richard Burgi,957,110332737,135589499.3,Comedy|Crime,John Michael Higgins,Fun with Dick and Jane ,110788,1997,David Herman,1,animal abuse|ceo|heist|suburb|unemployment,http://www.imdb.com/title/tt0369441/?ref_=fn_tt_tt_1,258,English,USA,PG-13,100000000,122891449.1,2005,550,6.1,2.35,2000,1
Color,Edward Zwick,190,154,380,445,Tony Goldwyn,10000,111110575,144931064,Action|Drama|History|War,Tom Cruise,The Last Samurai ,317166,11945,Chad Lindberg,1,captain|emperor|honor|japan|samurai,http://www.imdb.com/title/tt0325710/?ref_=fn_tt_tt_1,928,English,USA,R,140000000,182614021.7,2003,956,7.7,2.35,0,1
Color,Dean DeBlois,292,102,255,953,Djimon Hounsou,18000,176997107,179442690,Action|Adventure|Animation|Comedy|Family|Fantasy,Gerard Butler,How to Train Your Dragon 2 ,221128,23378,America Ferrera,5,dragon|father son relationship|husband wife relationship|mother son relationship|viking,http://www.imdb.com/title/tt1646971/?ref_=fn_tt_tt_1,343,English,USA,PG,145000000,147003476.4,2014,3000,7.9,2.35,46000,1
Color,Alex Proyas,184,126,295,284,Elodie Yung,18000,31141074,31141074,Action|Adventure|Fantasy,Gerard Butler,Gods of Egypt ,51892,19769,Bryan Brown,4,ancient egypt|egypt|egyptian|egyptian god|egyptian goddess,http://www.imdb.com/title/tt2404233/?ref_=fn_tt_tt_1,273,English,USA,PG-13,140000000,140000000,2016,934,5.5,2.35,24000,1
Color,Richard Donner,141,127,503,91,Rene Russo,5000,129734803,191026140.3,Action|Crime|Thriller,Jet Li,Lethal Weapon 4 ,127497,6171,Darlene Love,2,kung fu|lapd|martial arts|private investigator|triad,http://www.imdb.com/title/tt0122151/?ref_=fn_tt_tt_1,287,English,USA,R,140000000,206140981.6,1998,808,6.6,2.35,0,1
Color,Jon M. Chu,351,122,209,934,Dwayne Johnson,17000,122512052,126219646,Action|Adventure|Sci-Fi|Thriller,Channing Tatum,G.I. Joe: Retaliation ,146352,31958,Elodie Yung,6,general|gi joe|martial arts|ninja|president,http://www.imdb.com/title/tt1583421/?ref_=fn_tt_tt_1,288,English,USA,PG-13,130000000,133934202.4,2013,12000,5.8,2.35,42000,1
Color,Hironobu Sakaguchi,166,106,6,422,Ming-Na Wen,12000,32131830,43545251.96,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,Steve Buscemi,Final Fantasy: The Spirits Within ,72259,15015,Jean Simmons,1,general|military|scientist|soldier|year 2065,http://www.imdb.com/title/tt0173840/?ref_=fn_tt_tt_1,788,English,USA,PG-13,137000000,185663235.5,2001,2000,6.4,1.85,0,1
Color,Peter Weir,244,138,608,168,Lee Ingleby,613,93926386,122516250.7,Action|Adventure|Drama|History|War,James D'Arcy,Master and Commander: The Far Side of the World ,168207,1205,David Threlfall,1,1800s|napoleonic wars|pursuit|royal navy|ship,http://www.imdb.com/title/tt0311113/?ref_=fn_tt_tt_1,684,English,USA,PG-13,150000000,195657880.4,2003,172,7.4,2.35,0,1
Color,Bill Condon,322,115,386,12000,Kristen Stewart,21000,292298923,305555840.4,Adventure|Drama|Fantasy|Romance,Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2 ,185394,59177,Taylor Lautner,3,battle|friend|super strength|vampire|vision,http://www.imdb.com/title/tt1673434/?ref_=fn_tt_tt_1,329,English,USA,PG-13,120000000,125442476.7,2012,17000,5.5,2.35,65000,1
Color,Peyton Reed,517,117,235,680,Hayley Atwell,2000,180191634,182464774.7,Action|Adventure|Comedy|Sci-Fi,Judy Greer,Ant-Man ,313866,5730,T.I.,6,ant|chinatown san francisco|heist|sabotage|vault,http://www.imdb.com/title/tt0478970/?ref_=fn_tt_tt_1,549,English,USA,PG-13,130000000,131639966.8,2015,2000,7.4,1.85,61000,1
Color,Francis Lawrence,502,146,508,523,Josh Hutcherson,34000,424645577,437496666.8,Adventure|Sci-Fi|Thriller,Jennifer Lawrence,The Hunger Games: Catching Fire ,498397,49355,Sandra Ellis Lafferty,1,president|snow|television|tour|uprising,http://www.imdb.com/title/tt1951264/?ref_=fn_tt_tt_1,706,English,USA,PG-13,130000000,133934202.4,2013,14000,7.6,2.35,82000,1
Color,Bill Condon,322,115,386,12000,Kristen Stewart,21000,292298923,305555840.4,Adventure|Drama|Fantasy|Romance,Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2 ,185394,59177,Taylor Lautner,3,battle|friend|super strength|vampire|vision,http://www.imdb.com/title/tt1673434/?ref_=fn_tt_tt_1,329,English,USA,PG-13,120000000,125442476.7,2012,17000,5.5,2.35,65000,1
Color,Phillip Noyce,330,101,176,282,Andre Braugher,11000,118311368,130221395,Action|Crime|Mystery|Thriller,Angelina Jolie Pitt,Salt ,245621,12406,August Diehl,1,cia|on the run|russian|russian spy|strong female lead,http://www.imdb.com/title/tt0944835/?ref_=fn_tt_tt_1,514,English,USA,PG-13,110000000,121073348.1,2010,702,6.4,2.35,23000,1
Color,Steven Spielberg,440,107,14000,845,Mackenzie Crook,2000,77564037,82759823.01,Action|Adventure|Family|Mystery,Toby Jones,The Adventures of Tintin ,177383,4631,Tony Curran,1,captain|morocco|ship|tintin|treasure,http://www.imdb.com/title/tt0983193/?ref_=fn_tt_tt_1,447,English,USA,PG,135000000,144043251.7,2011,871,7.4,2.35,44000,1
Color,Shawn Levy,154,98,189,1000,Rami Malek,49000,113733726,115305193.9,Adventure|Comedy|Family|Fantasy,Robin Williams,Night at the Museum: Secret of the Tomb ,67223,53587,Steve Coogan,7,museum|museum of natural history manhattan new york city|night watchman|star died before release|tablet,http://www.imdb.com/title/tt2692250/?ref_=fn_tt_tt_1,126,English,USA,PG,127000000,128754769,2014,3000,6.2,1.85,11000,1
Color,Tom McGrath,233,95,96,8000,Brad Pitt,24000,148337537,163270202.3,Action|Animation|Comedy|Family|Sci-Fi,J.K. Simmons,Megamind ,172754,46120,Will Ferrell,3,battle|city|planet|prison|superhero,http://www.imdb.com/title/tt1001526/?ref_=fn_tt_tt_1,187,English,USA,PG,130000000,143086684.2,2010,11000,7.3,2.35,13000,1
